addition([train(18108)], [train(14645)], 11).
addition([train(53190)], [train(19511)], 16).
addition([train(57516)], [train(48892)], 5).
addition([train(54966)], [train(45344)], 12).
addition([train(1428)], [train(17121)], 11).
addition([train(54940)], [train(3535)], 12).
addition([train(43303)], [train(10759)], 12).
addition([train(41857)], [train(26716)], 6).
addition([train(46128)], [train(24862)], 6).
addition([train(17791)], [train(59269)], 9).
addition([train(39618)], [train(56161)], 3).
addition([train(23424)], [train(14841)], 12).
addition([train(25652)], [train(30636)], 18).
addition([train(45907)], [train(51371)], 6).
addition([train(53746)], [train(23618)], 5).
addition([train(40501)], [train(56675)], 12).
addition([train(58272)], [train(35716)], 11).
addition([train(38502)], [train(16785)], 15).
addition([train(59512)], [train(23625)], 5).
addition([train(28684)], [train(23193)], 10).
addition([train(30061)], [train(48277)], 7).
addition([train(11931)], [train(55092)], 18).
